rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual
289,Doug Fister,TEX,SP,"$4,000,000",1 (2018),"$4,000,000","$4,000,000"
290,Carlos Gomez,TB,OF,"$4,000,000",1 (2018),"$4,000,000","$4,000,000"
291,Francisco Liriano,DET,SP,"$4,000,000",1 (2018),"$4,000,000","$4,000,000"
292,Neil Walker,NYY,2B,"$4,000,000",1 (2018),"$4,000,000","$4,000,000"
293,Chris Iannetta,COL,C,"$3,975,000",2 (2018-19),"$8,500,000","$4,250,000"
294,Robbie Ray,ARI,SP,"$3,950,000",1 (2018),"$3,950,000","$3,950,000"
295,Nate Jones,CWS,RP,"$3,950,000",3 (2016-18),"$8,000,000","$2,666,667"
296,Martin Maldonado,LAA,C,"$3,900,000",1 (2018),"$3,900,000","$3,900,000"
297,Joe Kelly,BOS,RP,"$3,825,000",1 (2018),"$3,825,000","$3,825,000"
298,Jarrod Dyson,ARI,OF,"$3,750,000",2 (2018-19),"$7,500,000","$3,750,000"
299,Jimmy Nelson,MIL,SP,"$3,700,000",1 (2018),"$3,700,000","$3,700,000"
300,Corey Knebel,MIL,RP,"$3,650,000",1 (2018),"$3,650,000","$3,650,000"
301,Steven Souza Jr.,ARI,OF,"$3,550,000",1 (2018),"$3,550,000","$3,550,000"
302,Odubel Herrera,PHI,OF,"$3,550,000",5 (2017-21),"$30,500,000","$6,100,000"
303,Kurt Suzuki,ATL,C,"$3,500,000",1 (2018),"$3,500,000","$3,500,000"
304,Brian Duensing,CHC,RP,"$3,500,000",2 (2018-19),"$7,000,000","$3,500,000"
305,Lucas Duda,KC,1B,"$3,500,000",1 (2018),"$3,500,000","$3,500,000"
306,Travis d'Arnaud,NYM,C,"$3,475,000",1 (2018),"$3,475,000","$3,475,000"
307,Joe Panik,SF,2B,"$3,450,000",1 (2018),"$3,450,000","$3,450,000"
308,Arodys Vizcaino,ATL,RP,"$3,400,000",1 (2018),"$3,400,000","$3,400,000"
309,Chris Owings,ARI,SS,"$3,400,000",1 (2018),"$3,400,000","$3,400,000"
310,Justin Bour,MIA,1B,"$3,400,000",1 (2018),"$3,400,000","$3,400,000"
311,Wilmer Flores,NYM,1B,"$3,400,000",1 (2018),"$3,400,000","$3,400,000"
312,Dan Straily,MIA,SP,"$3,375,000",1 (2018),"$3,375,000","$3,375,000"
313,Tim Beckham,BAL,3B,"$3,350,000",1 (2018),"$3,350,000","$3,350,000"
314,Rougned Odor,TEX,2B,"$3,333,333",6 (2017-22),"$49,500,000","$8,250,000"
315,Adam Warren,NYY,RP,"$3,315,000",1 (2018),"$3,315,000","$3,315,000"
316,David Peralta,ARI,OF,"$3,300,000",1 (2018),"$3,300,000","$3,300,000"
317,Kevin Pillar,TOR,OF,"$3,250,000",1 (2018),"$3,250,000","$3,250,000"
318,Tony Watson,SF,RP,"$3,250,000",2 (2018-19),"$7,000,000","$3,500,000"
319,Cameron Maybin,MIA,OF,"$3,250,000",1 (2018),"$3,250,000","$3,250,000"
320,Felipe Rivero,PIT,RP,"$3,250,000",4 (2018-21),"$22,000,000","$5,500,000"
321,Addison Russell,CHC,SS,"$3,200,000",1 (2018),"$3,200,000","$3,200,000"
322,Marcus Semien,OAK,SS,"$3,125,000",1 (2018),"$3,125,000","$3,125,000"
323,Kenta Maeda,LAD,SP,"$3,125,000",8 (2016-23),"$25,000,000","$3,125,000"
324,Stephen Vogt,MIL,C,"$3,065,000",1 (2018),"$3,065,000","$3,065,000"
325,Jung-ho Kang,PIT,3B,"$3,062,500",4 (2015-18),"$11,000,000","$2,750,000"
326,Bud Norris,STL,RP,"$3,000,000",1 (2018),"$3,000,000","$3,000,000"
327,Drew Smyly,CHC,SP,"$3,000,000",2 (2018-19),"$10,000,000","$5,000,000"
328,Austin Jackson,SF,OF,"$3,000,000",2 (2018-19),"$6,000,000","$3,000,000"
329,Josh Tomlin,CLE,SP,"$3,000,000",1 (2018),"$3,000,000","$3,000,000"
330,Howie Kendrick,WSH,OF,"$3,000,000",2 (2018-19),"$7,000,000","$3,500,000"
331,Chris Tillman,BAL,SP,"$3,000,000",1 (2018),"$3,000,000","$3,000,000"
332,Colby Rasmus,BAL,OF,"$3,000,000",1 (2018),"$3,000,000","$3,000,000"
333,Clayton Richard,SD,SP,"$3,000,000",2 (2018-19),"$6,000,000","$3,000,000"
334,Drew Hutchison,PHI,RP,"$3,000,000",1 (2018),"$3,000,000","$3,000,000"
335,Jon Jay,KC,OF,"$3,000,000",1 (2018),"$3,000,000","$3,000,000"
336,Mike Zunino,SEA,C,"$2,975,000",1 (2018),"$2,975,000","$2,975,000"
337,Noah Syndergaard,NYM,SP,"$2,975,000",1 (2018),"$2,975,000","$2,975,000"
338,Maikel Franco,PHI,3B,"$2,950,000",1 (2018),"$2,950,000","$2,950,000"
339,Brandon Maurer,KC,RP,"$2,950,000",1 (2018),"$2,950,000","$2,950,000"
340,Eugenio Suarez,CIN,3B,"$2,916,666",7 (2018-24),"$66,000,000","$9,428,571"
341,Derek Dietrich,MIA,OF,"$2,900,000",1 (2018),"$2,900,000","$2,900,000"
342,J.T. Realmuto,MIA,C,"$2,900,000",1 (2018),"$2,900,000","$2,900,000"
343,Shohei Ohtani,LAA,SP,"$2,860,000",1 (2018),"$2,860,000","$2,860,000"
344,Jose Ramirez,CLE,3B,"$2,828,600",5 (2017-21),"$26,000,000","$5,200,000"
345,Aaron Hicks,NYY,OF,"$2,825,000",1 (2018),"$2,825,000","$2,825,000"
346,Rene Rivera,LAA,C,"$2,800,000",1 (2018),"$2,800,000","$2,800,000"
347,Will Harris,HOU,RP,"$2,800,000",2 (2017-18),"$5,000,000","$2,500,000"
348,Yoshihisa Hirano,ARI,RP,"$2,750,000",2 (2018-19),"$6,000,000","$3,000,000"
349,Brandon Guyer,CLE,OF,"$2,750,000",2 (2017-18),"$5,000,000","$2,500,000"
350,Nick Vincent,SEA,RP,"$2,750,000",1 (2018),"$2,750,000","$2,750,000"
351,George Kontos,PIT,RP,"$2,725,000",1 (2018),"$2,725,000","$2,725,000"
352,Jake Diekman,TEX,RP,"$2,712,500",1 (2018),"$2,712,500","$2,712,500"
353,Aaron Sanchez,TOR,SP,"$2,700,000",1 (2018),"$2,700,000","$2,700,000"
354,Randal Grichuk,TOR,OF,"$2,600,000",1 (2018),"$2,600,000","$2,600,000"
355,Joc Pederson,LAD,OF,"$2,600,000",1 (2018),"$2,600,000","$2,600,000"
356,Jonathan Villar,MIL,2B,"$2,550,000",1 (2018),"$2,550,000","$2,550,000"
357,Michael A. Taylor,WSH,OF,"$2,525,000",1 (2018),"$2,525,000","$2,525,000"
358,Boone Logan,MIL,RP,"$2,500,000",1 (2018),"$2,500,000","$2,500,000"
359,Matt Albers,MIL,RP,"$2,500,000",2 (2018-19),"$5,000,000","$2,500,000"
360,Nick Hundley,SF,C,"$2,500,000",1 (2018),"$2,500,000","$2,500,000"
361,Will Smith,SF,RP,"$2,500,000",1 (2018),"$2,500,000","$2,500,000"
362,Sergio Romo,TB,RP,"$2,500,000",1 (2018),"$2,500,000","$2,500,000"
363,David Hernandez,CIN,RP,"$2,500,000",2 (2018-19),"$5,000,000","$2,500,000"
364,Alcides Escobar,KC,SS,"$2,500,000",1 (2018),"$2,500,000","$2,500,000"
365,Lance McCullers Jr.,HOU,SP,"$2,450,000",1 (2018),"$2,450,000","$2,450,000"
366,Zach McAllister,CLE,RP,"$2,450,000",1 (2018),"$2,450,000","$2,450,000"
367,Luis Avilan,CWS,RP,"$2,450,000",1 (2018),"$2,450,000","$2,450,000"
368,Brad Peacock,HOU,RP,"$2,440,000",1 (2018),"$2,440,000","$2,440,000"
369,Eric Sogard,MIL,2B,"$2,400,000",1 (2018),"$2,400,000","$2,400,000"
370,Eduardo Rodriguez,BOS,SP,"$2,375,000",1 (2018),"$2,375,000","$2,375,000"
371,James McCann,DET,C,"$2,375,000",1 (2018),"$2,375,000","$2,375,000"
372,Kendall Graveman,OAK,SP,"$2,360,000",1 (2018),"$2,360,000","$2,360,000"
373,Yolmer Sanchez,CWS,3B,"$2,350,000",1 (2018),"$2,350,000","$2,350,000"
374,Tony Cingrani,LAD,RP,"$2,300,000",1 (2018),"$2,300,000","$2,300,000"
375,C.J. Cron,TB,1B,"$2,300,000",1 (2018),"$2,300,000","$2,300,000"
376,Drew Butera,KC,C,"$2,300,000",2 (2017-18),"$3,800,000","$1,900,000"
377,Carlos Rodon,CWS,SP,"$2,300,000",1 (2018),"$2,300,000","$2,300,000"
378,Jorge De La Rosa,ARI,RP,"$2,250,000",1 (2018),"$2,250,000","$2,250,000"
379,Randall Delgado,ARI,RP,"$2,250,000",1 (2018),"$2,250,000","$2,250,000"
380,Craig Stammen,SD,RP,"$2,250,000",2 (2018-19),"$4,500,000","$2,250,000"
381,Robinson Chirinos,TEX,C,"$2,250,000",2 (2017-18),"$4,200,000","$2,100,000"
382,Brock Holt,BOS,2B,"$2,225,000",1 (2018),"$2,225,000","$2,225,000"
383,Mike Foltynewicz,ATL,SP,"$2,200,000",1 (2018),"$2,200,000","$2,200,000"
384,Josh Fields,LAD,RP,"$2,200,000",1 (2018),"$2,200,000","$2,200,000"
385,Dominic Leone,STL,RP,"$2,170,000",1 (2018),"$2,170,000","$2,170,000"
386,Blake Treinen,OAK,RP,"$2,150,000",1 (2018),"$2,150,000","$2,150,000"
387,Chris Hatcher,OAK,RP,"$2,150,000",1 (2018),"$2,150,000","$2,150,000"
388,Zach Duke,MIN,RP,"$2,150,000",1 (2018),"$2,150,000","$2,150,000"
389,Jared Hughes,CIN,RP,"$2,125,000",2 (2018-19),"$4,500,000","$2,250,000"
390,Tyler Thornburg,BOS,RP,"$2,050,000",1 (2018),"$2,050,000","$2,050,000"
391,Chris Young,LAA,OF,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
392,Aledmys Diaz,TOR,SS,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
393,Seung Hwan Oh,TOR,RP,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
394,Daniel Descalso,ARI,1B,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
395,Jeff Mathis,ARI,C,"$2,000,000",2 (2017-18),"$4,000,000","$2,000,000"
396,Tom Koehler,LAD,RP,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
397,Jacob Turner,MIA,RP,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
398,Jose Reyes,NYM,SS,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
399,Nathan Eovaldi,TB,SP,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
400,Chad Bettis,COL,SP,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
401,Michael Pineda,MIN,SP,"$2,000,000",2 (2018-19),"$10,000,000","$5,000,000"
402,Robbie Grossman,MIN,OF,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
403,Hector Santiago,CWS,RP,"$2,000,000",1 (2018),"$2,000,000","$2,000,000"
404,Hernan Perez,MIL,2B,"$1,975,000",1 (2018),"$1,975,000","$1,975,000"
405,Sandy Leon,BOS,C,"$1,950,000",1 (2018),"$1,950,000","$1,950,000"
406,Shane Greene,DET,RP,"$1,950,000",1 (2018),"$1,950,000","$1,950,000"
407,Alex Wilson,DET,RP,"$1,925,000",1 (2018),"$1,925,000","$1,925,000"
408,JC Ramirez,LAA,SP,"$1,900,000",1 (2018),"$1,900,000","$1,900,000"
409,Jake Marisnick,HOU,OF,"$1,900,000",1 (2018),"$1,900,000","$1,900,000"
410,Liam Hendriks,OAK,RP,"$1,900,000",1 (2018),"$1,900,000","$1,900,000"
411,Kazuhisa Makita,SD,RP,"$1,900,000",2 (2018-19),"$3,800,000","$1,900,000"
412,Tyler Skaggs,LAA,SP,"$1,875,000",1 (2018),"$1,875,000","$1,875,000"
413,Brad Boxberger,ARI,RP,"$1,850,000",1 (2018),"$1,850,000","$1,850,000"
414,Aaron Loup,TOR,RP,"$1,812,500",1 (2018),"$1,812,500","$1,812,500"
415,Blake Parker,LAA,RP,"$1,800,000",1 (2018),"$1,800,000","$1,800,000"
416,Jeremy Jeffress,MIL,RP,"$1,750,000",1 (2018),"$1,750,000","$1,750,000"
417,Rajai Davis,CLE,OF,"$1,750,000",1 (2018),"$1,750,000","$1,750,000"
418,Chris Martin,TEX,RP,"$1,750,000",2 (2018-19),"$4,000,000","$2,000,000"
419,Tony Barnette,TEX,RP,"$1,750,000",1 (2018),"$1,750,000","$1,750,000"
420,Leonys Martin,DET,OF,"$1,750,000",1 (2018),"$1,750,000","$1,750,000"
421,Cory Spangenberg,SD,2B,"$1,700,000",1 (2018),"$1,700,000","$1,700,000"
422,Cory Gearrin,SF,RP,"$1,675,000",1 (2018),"$1,675,000","$1,675,000"
423,Dylan Bundy,BAL,SP,"$1,640,000",1 (2018),"$1,640,000","$1,640,000"
424,Roberto Perez,CLE,C,"$1,625,000",4 (2017-20),"$9,000,000","$2,250,000"
425,Ketel Marte,ARI,SS,"$1,600,000",5 (2018-22),"$24,000,000","$4,800,000"
426,Enrique Hernandez,LAD,OF,"$1,600,000",1 (2018),"$1,600,000","$1,600,000"
427,Ryan Pressly,MIN,RP,"$1,600,000",1 (2018),"$1,600,000","$1,600,000"
428,Hunter Strickland,SF,RP,"$1,550,000",1 (2018),"$1,550,000","$1,550,000"
429,Stephen Piscotty,OAK,OF,"$1,500,000",6 (2017-22),"$33,500,000","$5,583,333"
430,John Axford,TOR,RP,"$1,500,000",1 (2018),"$1,500,000","$1,500,000"
431,Tyler Clippard,TOR,RP,"$1,500,000",1 (2018),"$1,500,000","$1,500,000"
432,Paul DeJong,STL,SS,"$1,500,000",6 (2018-23),"$26,000,000","$4,333,333"
433,Fernando Salas,ARI,RP,"$1,500,000",1 (2018),"$1,500,000","$1,500,000"
434,Pedro Baez,LAD,RP,"$1,500,000",1 (2018),"$1,500,000","$1,500,000"
435,Derek Holland,SF,SP,"$1,500,000",1 (2018),"$1,500,000","$1,500,000"
436,Matt Belisle,CLE,RP,"$1,500,000",1 (2018),"$1,500,000","$1,500,000"
437,Cliff Pennington,CIN,2B,"$1,500,000",1 (2018),"$1,500,000","$1,500,000"
438,Blake Wood,LAA,RP,"$1,450,000",1 (2018),"$1,450,000","$1,450,000"
439,Devon Travis,TOR,2B,"$1,450,000",1 (2018),"$1,450,000","$1,450,000"
440,Christian Vazquez,BOS,C,"$1,450,000",1 (2018),"$1,450,000","$1,450,000"
441,Nate Karns,KC,SP,"$1,375,000",1 (2018),"$1,375,000","$1,375,000"
442,Michael Lorenzen,CIN,RP,"$1,312,500",1 (2018),"$1,312,500","$1,312,500"
443,Tommy Kahnle,NYY,RP,"$1,312,500",1 (2018),"$1,312,500","$1,312,500"
444,Miguel Montero,WSH,C,"$1,300,000",1 (2018),"$1,300,000","$1,300,000"
445,Chris Rusin,COL,RP,"$1,287,500",1 (2018),"$1,287,500","$1,287,500"
446,Nick Ahmed,ARI,SS,"$1,275,000",1 (2018),"$1,275,000","$1,275,000"
447,Caleb Joseph,BAL,C,"$1,250,000",1 (2018),"$1,250,000","$1,250,000"
448,A.J. Ellis,SD,C,"$1,250,000",1 (2018),"$1,250,000","$1,250,000"
449,Kevin Jepsen,TEX,RP,"$1,250,000",1 (2018),"$1,250,000","$1,250,000"
450,Phil Gosselin,CIN,2B,"$1,250,000",1 (2018),"$1,250,000","$1,250,000"
451,Justin Grimm,KC,RP,"$1,250,000",1 (2018),"$1,250,000","$1,250,000"
452,Tyler Lyons,STL,RP,"$1,200,000",1 (2018),"$1,200,000","$1,200,000"
453,Danny Valencia,BAL,1B,"$1,200,000",1 (2018),"$1,200,000","$1,200,000"
454,Luis Garcia,PHI,RP,"$1,200,000",1 (2018),"$1,200,000","$1,200,000"
455,Keone Kela,TEX,RP,"$1,200,000",1 (2018),"$1,200,000","$1,200,000"
456,Andrew Chafin,ARI,RP,"$1,195,000",1 (2018),"$1,195,000","$1,195,000"
457,Miguel Rojas,MIA,SS,"$1,180,000",1 (2018),"$1,180,000","$1,180,000"
458,Leury Garcia,CWS,OF,"$1,175,000",1 (2018),"$1,175,000","$1,175,000"
459,Scott Kingery,PHI,2B,"$1,166,666",6 (2018-23),"$24,000,000","$4,000,000"
460,Dan Otero,CLE,RP,"$1,150,000",2 (2018-19),"$2,500,000","$1,250,000"
461,Kyle Barraclough,MIA,RP,"$1,113,000",1 (2018),"$1,113,000","$1,113,000"
462,Cam Bedrosian,LAA,RP,"$1,100,000",1 (2018),"$1,100,000","$1,100,000"
463,Rex Brothers,ATL,RP,"$1,100,000",1 (2018),"$1,100,000","$1,100,000"
464,Steven Wright,BOS,SP,"$1,100,000",1 (2018),"$1,100,000","$1,100,000"
465,Austin Romine,NYY,C,"$1,100,000",1 (2018),"$1,100,000","$1,100,000"
466,Braxton Lee,MIA,OF,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
467,Brett Graves,MIA,RP,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
468,Caleb Smith,MIA,SP,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
469,Chris O'Grady,MIA,SP,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
470,Dillon Peters,MIA,SP,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
471,Drew Steckenrider,MIA,RP,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
472,Elieser Hernandez,MIA,SP,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
473,Odrisamer Despaigne,MIA,SP,"$1,090,000",1 (2018),"$1,090,000","$1,090,000"
474,Sam Freeman,ATL,RP,"$1,075,000",1 (2018),"$1,075,000","$1,075,000"
475,Kirby Yates,SD,RP,"$1,062,500",1 (2018),"$1,062,500","$1,062,500"
476,Jose Alvarez,LAA,RP,"$1,050,000",1 (2018),"$1,050,000","$1,050,000"
477,Andrew Romine,SEA,SS,"$1,050,000",1 (2018),"$1,050,000","$1,050,000"
478,Jurickson Profar,TEX,2B,"$1,050,000",1 (2018),"$1,050,000","$1,050,000"
479,Danny Farquhar,CWS,RP,"$1,050,000",1 (2018),"$1,050,000","$1,050,000"
480,Carlos Correa,HOU,SS,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
481,Peter Bourjos,ATL,OF,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
482,Chase Utley,LAD,2B,"$1,000,000",2 (2018-19),"$2,000,000","$1,000,000"
483,Gregor Blanco,SF,OF,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
484,Bryan Holaday,MIA,C,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
485,Joaquin Benoit,WSH,RP,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
486,Pedro Alvarez,BAL,1B,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
487,Jordan Lyles,SD,RP,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
488,Jesse Chavez,TEX,RP,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
489,Tim Lincecum,TEX,RP,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
490,Blaine Boyer,KC,RP,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
491,Ryan Goins,KC,SS,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
492,Ehire Adrianza,MIN,SS,"$1,000,000",1 (2018),"$1,000,000","$1,000,000"
493,Tim Anderson,CWS,SS,"$1,000,000",6 (2017-22),"$25,000,000","$4,166,667"
494,Tommy La Stella,CHC,2B,"$950,000",1 (2018),"$950,000","$950,000"
495,Matt Szczur,SD,OF,"$950,000",1 (2018),"$950,000","$950,000"
496,Matt Duffy,TB,3B,"$930,000",1 (2018),"$930,000","$930,000"
497,Jesus Sucre,TB,C,"$925,000",1 (2018),"$925,000","$925,000"
498,Josh Phegley,OAK,C,"$905,000",1 (2018),"$905,000","$905,000"
499,Craig Gentry,BAL,OF,"$900,000",1 (2018),"$900,000","$900,000"
500,Ryan Rua,TEX,OF,"$870,000",1 (2018),"$870,000","$870,000"
501,Anthony DeSclafani,CIN,SP,"$860,000",1 (2018),"$860,000","$860,000"
502,Ji-Man Choi,MIL,1B,"$850,000",1 (2018),"$850,000","$850,000"
503,T.J. McFarland,ARI,RP,"$850,000",1 (2018),"$850,000","$850,000"
504,Carson Smith,BOS,RP,"$850,000",1 (2018),"$850,000","$850,000"
505,Jacob Lindgren,ATL,RP,"$820,000",1 (2018),"$820,000","$820,000"
506,Chasen Shreve,NYY,RP,"$805,000",1 (2018),"$805,000","$805,000"
507,Andrew Heaney,LAA,SP,"$800,000",1 (2018),"$800,000","$800,000"
508,Chase Whitley,ATL,RP,"$800,000",1 (2018),"$800,000","$800,000"
509,Guillermo Heredia,SEA,OF,"$782,000",1 (2018),"$782,000","$782,000"
510,Jake Smolinski,OAK,OF,"$775,000",1 (2018),"$775,000","$775,000"
511,Ryan Flaherty,ATL,2B,"$750,000",1 (2018),"$750,000","$750,000"
512,Ichiro Suzuki,SEA,OF,"$750,000",1 (2018),"$750,000","$750,000"
513,Chaz Roe,TB,RP,"$720,000",1 (2018),"$720,000","$720,000"
514,Kevin Quackenbush,CIN,RP,"$690,000",1 (2018),"$690,000","$690,000"
515,Javier Baez,CHC,2B,"$657,000",1 (2018),"$657,000","$657,000"
516,Francisco Pena,STL,C,"$650,000",1 (2018),"$650,000","$650,000"
517,Wade LeBlanc,SEA,RP,"$650,000",1 (2018),"$650,000","$650,000"
518,Robbie Erlin,SD,SP,"$650,000",1 (2018),"$650,000","$650,000"
519,Niko Goodrum,DET,3B,"$650,000",1 (2018),"$650,000","$650,000"
520,Trevor May,MIN,RP,"$650,000",1 (2018),"$650,000","$650,000"
521,Adam Duvall,CIN,OF,"$645,000",1 (2018),"$645,000","$645,000"
522,Yimi Garcia,LAD,RP,"$630,000",1 (2018),"$630,000","$630,000"
523,Francisco Lindor,CLE,SS,"$623,200",1 (2018),"$623,200","$623,200"
524,Aaron Judge,NYY,OF,"$622,300",1 (2018),"$622,300","$622,300"
525,Brandon Drury,NYY,3B,"$621,900",1 (2018),"$621,900","$621,900"
526,Andrew Benintendi,BOS,OF,"$620,500",1 (2018),"$620,500","$620,500"
527,Gary Sanchez,NYY,C,"$620,400",1 (2018),"$620,400","$620,400"
528,Ronald Torreyes,NYY,SS,"$615,500",1 (2018),"$615,500","$615,500"
529,Mike Montgomery,CHC,RP,"$611,250",1 (2018),"$611,250","$611,250"
530,Dan Winkler,ATL,RP,"$610,000",1 (2018),"$610,000","$610,000"
531,Zac Rosscup,COL,RP,"$610,000",1 (2018),"$610,000","$610,000"
532,Michael Conforto,NYM,OF,"$605,094",1 (2018),"$605,094","$605,094"
533,Corey Seager,LAD,SS,"$605,000",1 (2018),"$605,000","$605,000"
534,Matt Barnes,BOS,RP,"$605,000",1 (2018),"$605,000","$605,000"
535,Luis Severino,NYY,SP,"$604,975",1 (2018),"$604,975","$604,975"
536,Kyle Schwarber,CHC,OF,"$604,500",1 (2018),"$604,500","$604,500"
537,Willson Contreras,CHC,C,"$604,500",1 (2018),"$604,500","$604,500"
538,Eddie Rosario,MIN,OF,"$602,500",1 (2018),"$602,500","$602,500"
539,Miguel Sano,MIN,3B,"$602,500",1 (2018),"$602,500","$602,500"
540,Pedro Florimon,PHI,OF,"$600,000",1 (2018),"$600,000","$600,000"
541,Juan Centeno,TEX,C,"$600,000",1 (2018),"$600,000","$600,000"
542,Chris Devenski,HOU,RP,"$599,200",1 (2018),"$599,200","$599,200"
543,Alex Bregman,HOU,3B,"$599,000",1 (2018),"$599,000","$599,000"
544,Carl Edwards Jr.,CHC,RP,"$594,000",1 (2018),"$594,000","$594,000"
545,Max Kepler,MIN,OF,"$587,500",1 (2018),"$587,500","$587,500"
546,Cody Bellinger,LAD,1B,"$585,000",1 (2018),"$585,000","$585,000"
547,Ryan LaMarre,MIN,OF,"$585,000",1 (2018),"$585,000","$585,000"
548,Albert Almora Jr.,CHC,OF,"$584,500",1 (2018),"$584,500","$584,500"
549,Hector Neris,PHI,RP,"$582,500",1 (2018),"$582,500","$582,500"
550,Greg Bird,NYY,1B,"$582,000",1 (2018),"$582,000","$582,000"
551,Archie Bradley,ARI,RP,"$581,900",1 (2018),"$581,900","$581,900"
552,Heath Hembree,BOS,RP,"$581,500",1 (2018),"$581,500","$581,500"
553,Jordan Montgomery,NYY,SP,"$580,450",1 (2018),"$580,450","$580,450"
554,Raffy Lopez,SD,C,"$580,000",1 (2018),"$580,000","$580,000"
555,Scott Schebler,CIN,OF,"$580,000",1 (2018),"$580,000","$580,000"
556,Byron Buxton,MIN,OF,"$580,000",1 (2018),"$580,000","$580,000"
557,Zack Godley,ARI,SP,"$579,200",1 (2018),"$579,200","$579,200"
558,Brandon Finnegan,CIN,SP,"$577,500",1 (2018),"$577,500","$577,500"
559,Trea Turner,WSH,SS,"$577,200",1 (2018),"$577,200","$577,200"
560,Steven Matz,NYM,SP,"$577,000",1 (2018),"$577,000","$577,000"
561,Michael Feliz,PIT,RP,"$575,500",1 (2018),"$575,500","$575,500"
562,Michael Fulmer,DET,SP,"$575,200",1 (2018),"$575,200","$575,200"
563,Charlie Culberson,ATL,SS,"$575,000",1 (2018),"$575,000","$575,000"
564,Chris Stewart,ATL,C,"$575,000",1 (2018),"$575,000","$575,000"
565,Lane Adams,ATL,OF,"$575,000",1 (2018),"$575,000","$575,000"
566,Peter Moylan,ATL,RP,"$575,000",1 (2018),"$575,000","$575,000"
567,Chris Taylor,LAD,OF,"$575,000",1 (2018),"$575,000","$575,000"
568,Jose Urena,MIA,SP,"$575,000",1 (2018),"$575,000","$575,000"
569,Jorge Polanco,MIN,SS,"$575,000",1 (2018),"$575,000","$575,000"
570,Ryan Tepera,TOR,RP,"$574,700",1 (2018),"$574,700","$574,700"
571,Jesse Hahn,KC,SP,"$574,000",1 (2018),"$574,000","$574,000"
572,Brian Flynn,KC,RP,"$573,500",1 (2018),"$573,500","$573,500"
573,Cheslor Cuthbert,KC,3B,"$573,500",1 (2018),"$573,500","$573,500"
574,Aaron Nola,PHI,SP,"$573,000",1 (2018),"$573,000","$573,000"
575,Josh Bell,PIT,1B,"$572,500",1 (2018),"$572,500","$572,500"
576,Domingo Santana,MIL,OF,"$572,400",1 (2018),"$572,400","$572,400"
577,Zach Davies,MIL,SP,"$572,000",1 (2018),"$572,000","$572,000"
578,Adam Frazier,PIT,OF,"$571,000",1 (2018),"$571,000","$571,000"
579,Jameson Taillon,PIT,SP,"$571,000",1 (2018),"$571,000","$571,000"
580,Joe Musgrove,PIT,SP,"$571,000",1 (2018),"$571,000","$571,000"
581,Edwin Diaz,SEA,RP,"$570,800",1 (2018),"$570,800","$570,800"
582,Chad Green,NYY,RP,"$570,800",1 (2018),"$570,800","$570,800"
583,Eddie Butler,CHC,RP,"$570,750",1 (2018),"$570,750","$570,750"
584,Chad Kuhl,PIT,SP,"$570,500",1 (2018),"$570,500","$570,500"
585,Josh Smoker,PIT,RP,"$570,500",1 (2018),"$570,500","$570,500"
586,Tommy Pham,STL,OF,"$570,100",1 (2018),"$570,100","$570,100"
587,Ian Happ,CHC,OF,"$570,000",1 (2018),"$570,000","$570,000"
588,Jose Peraza,CIN,SS,"$570,000",1 (2018),"$570,000","$570,000"
589,Jose Berrios,MIN,SP,"$570,000",1 (2018),"$570,000","$570,000"
590,Matt Davidson,CWS,DH,"$570,000",1 (2018),"$570,000","$570,000"
591,Greg Garcia,STL,3B,"$569,600",1 (2018),"$569,600","$569,600"
592,Trevor Williams,PIT,SP,"$569,500",1 (2018),"$569,500","$569,500"
593,Whit Merrifield,KC,2B,"$569,500",1 (2018),"$569,500","$569,500"
594,Paulo Orlando,KC,OF,"$568,500",1 (2018),"$568,500","$568,500"
595,Alex Claudio,TEX,RP,"$568,450",1 (2018),"$568,450","$568,450"
